diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,label
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},126289fcac4dffda936d7bebf3baa2ec3b7c565f,2D,"(1.0, 1.0)","(512, 512)",31.623332977294922,0.0,255.0,364dbd6b4f5cffefe80d19dad579812897015385,"(1.0, 1.0)","(512, 512)","(0, 70, 512, 420)",95533,29,"(256.3129285168476, 252.06489904012227)","(256.3129285168476, 252.06489904012227)",16.0,177.0,1145011565.0,3.082136097327882,93.0,3.292543008265021,255.0,53.94887811265345,86.77490500664692,71.0,1.0,254.0,38.2688164280135,109.47834628834315,0.9679589058289065,1145011565.0,0.13347918624273217,4455.62416711778,23.73747075368979,2640.427592494692,146.6050993425373,27.576096932689218,2.0464934512677164,0.8620495304083298,0.9769229921889444,1.8314406405485126,1.0622419146200974,0.637059065258727,0.6062908389921939,0.9844820875545117,0.9246896197086635,-0.2922835868917089,0.9087581851864523,0.4547456770361977,4.165903658048067,0.0360500515677427,5.315749373725055,0.8881108347060593,0.07679104989640387,8.331807316096135,3.9905892119019426,7.405647595989234,5.675880745406137,15438.714297677243,0.16160608687759456,3.452236708921126,12751.667099326934,7.365413141091176,23.495054065087455,17.329310290684894,610.1236326714329,4.651878197634913,0.25934793363547354,0.18519230775152096,4.263677324991866,0.0404360695664845,8553.508334910142,0.13573755734376344,5.615981803149492,20.423831002968907,3.8240895276358895,155.88263749641666,0.9020060815696676,0.2513592717454906,4.380377820436846,33567.00069568651,0.5265769133604516,0.6593506955711639,1.45483770703967,0.750142371509859,15.176794612305518,0.1806516150372547,2457.2482136522576,0.12452481698942167,5.57464139368562,23.54325241980439,551.0821973344144,25834.99675670197,235.83175504672366,0.19715439507668692,4866.186438960118,0.2466014513231702,0.5063377286873314,12.864871196801904,0.09861237189416311,6.05010865739305,0.2065568965697717,527.6441946188478,342.97803144145854,0.00011622305381343747,38.48265578179052,0.09440772938622106,0.006958182602997523,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},cb941066ec8a8d24b7e8daa5e8b3940cc6188afc,2D,"(1.0, 1.0)","(512, 512)",31.892845153808594,0.0,255.0,ed0820b2ddb8c1418753379b514c3e6e0e5dfc69,"(1.0, 1.0)","(512, 512)","(0, 75, 512, 415)",95376,31,"(256.49710619023654, 252.58221145780908)","(256.49710619023654, 252.58221145780908)",16.0,181.0,1163327820.0,3.096114623998065,92.0,3.2372146535655384,255.0,54.29980918669022,87.65850947827546,72.0,1.0,254.0,38.5330681434984,110.44129865186946,0.9563762608646188,1163327820.0,0.13212958322684937,4513.266163958517,24.089497080969608,2653.1039790195928,147.19688288209642,27.91773518794154,2.2086427938910718,0.8536845838188452,1.0192441696591188,1.8762954695115648,1.134559844220192,0.6285994955087948,0.5955891888400562,0.9833033133050627,0.9218314195700852,-0.28113562466602765,0.9020196827523814,0.4503084753241229,4.202597585182739,0.0347983982365533,5.376907491652306,0.879299469560987,0.07552669654078822,8.405195170365477,4.008098464853827,7.531594495458153,5.680290078770967,15524.40110719678,0.16277051991273253,3.47923367513664,12601.991129843986,7.469829045368176,23.868184868310685,16.81609629256836,606.3026337862775,4.467930872530326,0.25584576944019477,0.195495177447342,4.563046182994419,0.04154757395616268,8564.719468948553,0.13427561487036943,5.711821832815439,20.788639071243207,3.658669653618039,145.8594695263371,0.8681474884327753,0.24770319512079292,4.361071755967133,34723.67335275093,0.5381033843354645,0.6685041310182855,1.3520689408969067,0.7584014358711364,15.580748609116242,0.18001605197101805,2621.4059120744205,0.12378551787667849,5.604587992575898,23.818623978844972,487.0467016102375,23746.35689663314,185.5316784933362,0.19571503946231392,5369.450205411531,0.2535510320352992,0.5131083048522275,13.116353949990353,0.0961869367500701,5.9819732802358585,0.222036990437846,466.76290086184116,357.51723410394004,0.00011277416585088938,39.78605506779991,0.10021185801070706,0.006650713200281938,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},1b055683c4475580c536d43096a35692c6398b41,2D,"(1.0, 1.0)","(512, 512)",32.629173278808594,0.0,255.0,f096f8cf3cbd853d2123239efce76b06f1b32711,"(1.0, 1.0)","(512, 512)","(0, 74, 512, 416)",96416,46,"(256.3082061068702, 253.5063060073017)","(256.3082061068702, 253.5063060073017)",16.0,187.0,1207972506.0,3.101328398540139,93.0,3.2014433759493146,255.0,55.10478030669305,88.71496432127448,72.0,1.0,254.0,38.9256882126818,111.9319242350479,0.9661814394747035,1207972506.0,0.13157265983888106,4658.4107684355,24.696145043830608,2822.6353693978504,158.16537978516237,29.013522858545645,2.0737634932216027,0.8668205442726089,0.9834970426565574,1.84067142170753,1.0783252752183639,0.6356955570084798,0.6045420018340856,0.9843013063878338,0.9242483535093444,-0.29410325749443356,0.9113668369465251,0.4539604733668148,4.238035715176228,0.0356605445745006,5.338616139037671,0.889468919125631,0.07822128336252404,8.476071430352455,4.007271980634999,7.771821587941812,5.68481783225213,15467.54663126452,0.1604251019671478,3.559049031786448,12685.709571025556,7.717567046934072,24.486547875871224,17.441814636574843,666.9965047295054,4.277607844131157,0.2503046326500732,0.18788406572334795,4.424710171959279,0.04045103236571027,8561.61569153803,0.13465444311802166,5.75544766582635,20.793023602346153,3.8352592538476182,164.66934769825556,0.8415343889905763,0.24718398844362985,4.386510239084468,34013.07630783949,0.5292104369031835,0.6592552066047129,1.4716431293682577,0.7522512566802689,15.365139450892567,0.1798411331180214,2499.014580562534,0.12309810258423397,5.735895801632065,23.971627013447613,539.295305649968,31239.50105906113,162.63783628005018,0.20040229906213655,5087.786069651741,0.2506175099577233,0.5106197117673719,13.309206534909723,0.09763241610468061,6.034410201016784,0.2105563391968138,516.7392396033217,331.763557900523,0.00011639208692657247,38.21323760842359,0.09930181071440301,0.006882767403461639,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},0d227b72c23d421b5eb1413fa6b8af34091e886e,2D,"(1.0, 1.0)","(512, 512)",33.02469253540039,0.0,255.0,fce31710608a49e2f615e511918c761b9fd6c515,"(1.0, 1.0)","(512, 512)","(0, 74, 512, 416)",97240,44,"(256.82120526532293, 254.35478198272315)","(256.82120526532293, 254.35478198272315)",17.0,191.0,1231702455.0,3.093309545626627,93.0,3.213573079375308,255.0,55.478729349207185,89.02946318387495,71.0,1.0,254.0,38.74544834767745,112.54609435509786,0.9907553750280724,1231702455.0,0.1324431884808878,4740.378039777644,24.898836541797824,2972.889478170746,168.52394589696243,29.764445211070967,1.9764975110637384,0.8756446449384973,0.9541466732536207,1.8161581946122536,1.0429646958670664,0.6430524375465028,0.6133148266899857,0.9850058469564279,0.9263169217816231,-0.3025797358207967,0.9163329344745603,0.4524127546217913,4.236942584163938,0.03685420877136912,5.292764364017479,0.8965529333550275,0.08138489075198685,8.473885168327875,3.9958319695067184,7.935235680533678,5.6916384058311085,15219.41777046483,0.15651396308581683,3.70775047882647,12878.77564788153,7.877912354556299,24.744374742904153,18.26318387494858,715.7936343068696,4.4228850345854305,0.24780406084640935,0.1809843413747913,4.2101504323806065,0.03887960162233013,8572.24520943007,0.13599407410508826,5.697035225224427,20.593849617552358,4.1622473535483095,195.64696321091256,0.8682467090954384,0.2449100575878588,4.407836000314289,33008.38918534476,0.5189182561451001,0.6481052036199095,1.7281607791254532,0.745355891505905,15.023617872677665,0.17623271646105693,2415.0583829263287,0.12389997860282828,5.652935208408073,23.795762364046787,763.5237020316027,43202.00333470142,185.90448414531355,0.19861876841104598,4848.579109378206,0.24874713263791332,0.5091510966959419,13.108691238626175,0.09796337865889977,6.055579294925103,0.20045248868778281,738.6364414595743,313.8344543582641,0.00011823613413268666,37.224878321209374,0.09850047283905533,0.007060806995218089,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},2a0c0d7aaf5c8c189750445af0829b3e891155dc,2D,"(1.0, 1.0)","(512, 512)",33.025230407714844,0.0,255.0,75786551338e24b69673fb19dec7ecfa14b8e486,"(1.0, 1.0)","(512, 512)","(0, 75, 512, 415)",98014,34,"(257.1908910971902, 255.27156324606688)","(257.1908910971902, 255.27156324606688)",16.0,191.0,1233419612.0,3.083781644864402,92.0,3.222130431661446,255.0,55.78279879411501,88.32785112330892,69.0,1.0,254.0,39.08802390157649,112.1789493497304,0.9970731463509519,1233419612.0,0.1337953653991517,4782.307393147955,24.732236215034497,3035.030816031699,171.8337299486804,30.02937453466869,1.9399729760655555,0.8787828856413218,0.9397916480553831,1.8020099718401321,1.0355665613087164,0.646688887776519,0.617951026704554,0.9853103319106291,0.9273663107262645,-0.3078683771256404,0.9189275921262449,0.45379674331076886,4.208296623324628,0.03797846676924905,5.259374673296025,0.8985001748669796,0.08300312468011595,8.416593246649256,3.98342608827536,7.992336877683563,5.6843086328183094,15212.394861958495,0.15520634666433872,3.7277945269856545,13113.818944232456,7.943470507705813,24.595772032566778,18.556430713979637,719.2860611749342,4.682429739395883,0.2547520363752701,0.17800058348136394,4.20144267133171,0.03842906872555517,8630.230260505927,0.13678489030415109,5.741764946053154,20.474023362910685,4.184448381450979,191.72797713223235,0.9185065709040221,0.25032933967865373,4.416958867987635,32691.63995118618,0.513785489325933,0.643650396882078,1.7199576652414668,0.7418047565629177,14.906543702116682,0.17865250704801838,2355.5205822507432,0.12289458873327821,5.7635931169838805,24.125893462722388,1002.5075389993217,43298.03099076538,283.7330906119732,0.19871998034110971,4796.57009443314,0.2502514788142714,0.5113683374609491,13.563728593359032,0.09700443511481745,6.067527751044885,0.19555369641071685,976.3577649308659,311.6718745173886,0.00011809825241128143,36.948496548464306,0.09798219599719425,0.007155387638570121,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},3fe6b304807a6beb9bcc4b3400faca12bc9c53aa,2D,"(1.0, 1.0)","(512, 512)",33.003089904785156,0.0,255.0,50a3dd9e925961f2603c2696c22f9635a27c8d0d,"(1.0, 1.0)","(512, 512)","(0, 76, 512, 414)",98468,34,"(258.2653958646464, 256.15348133403745)","(258.2653958646464, 256.15348133403745)",16.0,190.0,1227692870.0,3.0805825644958196,93.0,3.2457653652102945,255.0,55.58582898379499,87.86166064102044,69.0,1.0,254.0,39.01895906733141,111.65991896172456,1.0044685503263553,1227692870.0,0.13436816112703218,4748.266091941057,24.437865377731942,3006.1006270731004,170.40808615309135,29.75091188737822,1.9220545152419954,0.8787500299308086,0.9323244707219672,1.792624729922503,1.032112869631243,0.6482945995005611,0.6200971840665652,0.9854828457908409,0.9279062656647639,-0.3102306699621698,0.9200357599140511,0.45541951476486364,4.180979305987803,0.03843787328459601,5.2439080902450605,0.8975362741033325,0.08385541042137451,8.361958611975606,3.9765123764720083,7.918241600655054,5.6825488960168675,15352.46425234594,0.15591323325695597,3.6458688027584256,13230.964089856603,7.881742980426582,24.37152171263761,18.61120363976114,702.2335276434984,4.807380967309321,0.2569221786537974,0.17347145805390124,4.059878724539794,0.037408117281789874,8650.867814176037,0.13693956902299936,5.758279766161299,20.47550659696664,4.190501320810663,188.54261755363342,0.9380334347680326,0.25116595826720284,4.428709090929618,32419.971861849706,0.5087699405015137,0.6414368119592151,1.7067356009640782,0.7380658192393239,14.83430795865091,0.1779046079870652,2300.416550091467,0.12377147046655906,5.724475320122432,24.124448509630906,976.8042612719252,42096.52733240073,386.48187059416216,0.19577032235207867,4575.277951146024,0.24616797326729925,0.5063094631485556,13.238125611252489,0.09548745636285619,6.0922955474650315,0.18875167567128406,948.7358152976855,316.8748098114822,0.00011801541241382167,36.75256560152894,0.0967532269174453,0.0071618782215318874,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},4b8f03b959a0b9b7cf231965a7b1bf5c96492922,2D,"(1.0, 1.0)","(512, 512)",32.963035583496094,0.0,255.0,c6af4ee1c4bf7b8666611e99cc290acbe2084690,"(1.0, 1.0)","(512, 512)","(0, 89, 512, 400)",96893,49,"(259.48089129245665, 258.7875491521575)","(259.48089129245665, 258.7875491521575)",16.0,191.0,1229921260.0,3.0998057855537287,93.0,3.2083856170328255,255.0,55.353037776728655,89.18148885884429,72.0,1.0,254.0,38.68437328623677,112.66589031400079,0.980269654122675,1229921260.0,0.13126889550806375,4740.264885166289,24.986785185464356,2924.0352938082715,164.61081536611016,29.44360547852458,2.3388008065990453,0.8531747324335728,1.0496802206294236,1.9143860165829958,1.196028489627976,0.6244452172452013,0.5896228181468506,0.9823292236533334,0.9198685392957677,-0.275235696254815,0.8974387657272858,0.4408946595981268,4.267338887081706,0.03440368066579153,5.397499488766351,0.8841996063943012,0.07375858741717414,8.534677774163411,4.005061728884932,7.945601571280906,5.657137811135488,15625.897897680947,0.16126962626485863,3.6939747083302246,12719.03709246282,7.871560066145377,24.809397995727245,16.988729836004666,684.9134715614131,4.199827194834626,0.24909511447916974,0.20240887751193765,4.771476576423221,0.04262810219039718,8735.991615122732,0.1347085264989905,5.7119984371527615,20.77400360064557,3.914476078608452,184.92863335659945,0.8297991754300164,0.24432667949156994,4.336627996284429,35817.829517032296,0.5457259314864774,0.6692253310352658,1.6125925059412016,0.7636246940860721,15.589667720486796,0.17944748030013605,2760.4163420640252,0.12359150848730804,5.581287652871549,23.9342735616745,432.1294381016342,23415.251443922094,146.60363438763994,0.19328086315681217,5912.268233713902,0.26470867399659287,0.5262673823220761,13.644934022123817,0.09890984505432887,5.9122786135912175,0.2305120080913998,413.30972962183336,339.9233118717612,0.00010891619565460039,40.55678324028829,0.10834341835321468,0.006425390334343559,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},407e4d6f19818d4cc1147dbccae5b17e7c642ca9,2D,"(1.0, 1.0)","(512, 512)",32.766998291015625,0.0,255.0,12b20806d5f80ad7a8ff3ba7669d41e2e1b498af,"(1.0, 1.0)","(512, 512)","(0, 90, 512, 399)",97355,48,"(259.05437830619894, 259.53148785373116)","(259.05437830619894, 259.53148785373116)",16.0,184.0,1207032110.0,3.0874720617144784,92.0,3.2710422105733516,255.0,54.64485602799142,88.23041446253403,72.0,1.0,254.0,38.26895298997958,111.34745144478582,0.9837882234813902,1207032110.0,0.13242588197856944,4613.648907018401,24.40105085925969,2820.7637725529676,158.36698573464523,28.620529229230755,2.195748681874245,0.8577671506739923,1.0130257369183022,1.8772566249114817,1.1360623688353613,0.6310390442628055,0.5982794384679605,0.9833860881701072,0.9223181885153647,-0.2831245026968364,0.903116094695674,0.4474355008013584,4.218363782629863,0.035463721556138444,5.347433501377654,0.8820100669480635,0.07652159290253323,8.436727565259728,3.9920929487475423,7.704069477776251,5.663682290949644,15572.30680499204,0.1599538473113044,3.593839641223103,12892.321740023624,7.648842078513111,24.26462944892404,17.27665759334395,655.1027168609727,4.391526022202808,0.2513957053203942,0.19302439781334463,4.544139721328302,0.040919092456698905,8718.998939320969,0.1351247294283448,5.659900608408111,20.6553659665987,3.8655816492633894,169.17041199990805,0.8564111619223593,0.24536722321969565,4.362138122286911,34829.02123881347,0.5337144407297328,0.6626213342920241,1.521223485784631,0.7554674583356991,15.350521756154006,0.17792356573587195,2616.799349394182,0.12336991888143804,5.577989979834055,23.95855923813116,412.82895667342416,21582.605204846543,132.57922368376163,0.1953049041941173,5433.181698175475,0.2561492479456638,0.5163939296629603,13.501542919534822,0.0970764173270883,5.980720976880115,0.2178727338092548,391.7623670984755,332.341117437288,0.00011161068300431505,39.44200682446288,0.10188280892020744,0.0065854833410384575,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},762569475c983e361939fc80595d768ca5670067,2D,"(1.0, 1.0)","(512, 512)",32.49691390991211,0.0,255.0,2f5bc0ea49c9492ded9ac30680d9b9f08edca9c3,"(1.0, 1.0)","(512, 512)","(0, 91, 512, 399)",97669,39,"(258.4825891531602, 259.86447081469043)","(258.4825891531602, 259.86447081469043)",16.0,182.0,1190024897.0,3.0803832880226683,93.0,3.2798621538119277,255.0,54.5923159977024,87.22185135508708,70.0,1.0,254.0,38.44752291106913,110.38235442202824,0.9858519354893298,1190024897.0,0.13381383953305637,4576.612813941353,23.973765078674184,2775.4614215197885,155.53512448225405,28.37639538903705,2.1497003457388453,0.8593990376525238,0.9986057299396814,1.8608103713174695,1.121238773713892,0.6337912811971061,0.601990771847239,0.9837640339075024,0.9233179271580477,-0.2876278358767487,0.9060253871214898,0.4507461650517237,4.173355023760108,0.03639286000147465,5.323142285981346,0.8797656032421238,0.07887174194083678,8.346710047520215,3.9861524743445207,7.631523933693973,5.6660957515105626,15618.71683952943,0.1599147819628483,3.5309321882741562,13069.463893354085,7.577442012691694,23.846819359264455,17.343773356950518,626.0586573017027,4.65634596080643,0.258095195652173,0.18955403590892156,4.5062947234706545,0.04010208834422461,8736.624018577073,0.1354105640572642,5.7165441047510095,20.62845142699384,3.804815688973851,155.43618062601934,0.9008809671861446,0.24941383508184242,4.375351099829068,34510.55916034766,0.5288406892222348,0.6604296143095557,1.4442797807450618,0.7518922140135692,15.305078205362946,0.17908268185759593,2553.1314247286005,0.12264057184785283,5.679850999214277,24.307090018253433,442.9166586607743,14828.612979152656,229.92038475596436,0.19166797480667205,5277.227399365934,0.2534934863755372,0.5136016939333216,13.708625491849546,0.09447061359342432,6.004759490349007,0.21314849133297156,420.9058765881721,342.6719302863823,0.00011210265078388694,39.108471914833906,0.09960123501506879,0.006681528967581655,benign
v3.0.1,1.26.4,2.5.5,1.8.0,3.10.20,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},3b8f427b8134208a38b05a3d37d381b7869e55d8,2D,"(1.0, 1.0)","(512, 512)",32.348018646240234,0.0,255.0,d2063fd3d87325df3afd4d05bfa2a57ed454c39c,"(1.0, 1.0)","(512, 512)","(0, 91, 512, 399)",97853,33,"(257.9897192727867, 260.1944549477277)","(257.9897192727867, 260.1944549477277)",16.0,181.0,1181667753.0,3.08022577592386,93.0,3.2830299204085356,255.0,54.5853118739805,86.65895782449184,69.0,1.0,254.0,38.39203063718073,109.89061896490732,0.9891453494083816,1181667753.0,0.13450355110654372,4566.173165263393,23.718065354302272,2748.979805962749,154.33396170126815,28.284135917847472,2.106010297463713,0.861590305601647,0.9828315533876405,1.845760786431764,1.1107198287454523,0.6376732054702321,0.6068574702266867,0.984122738448062,0.9244539415563431,-0.2923032359148253,0.9088991081670813,0.45174976566367603,4.144073182606851,0.037097153692766324,5.306785234431225,0.8783493617381717,0.08097425221449212,8.2881463652137,3.986843773583716,7.597536553827796,5.681266320477631,15524.535241637966,0.15865160231815037,3.495376130308585,13161.575986428623,7.558399484223761,23.639111728817717,17.612980695533096,606.5561812105914,4.946293349133351,0.2623108088941879,0.18419900932346014,4.4047228797781575,0.03886239828065428,8662.88056852412,0.13506050279932888,5.808495945152291,20.785567247385657,3.8041225856342518,146.87197074247672,0.9500267870631782,0.25050218997855417,4.404618985113783,33808.15154137717,0.5212526360156885,0.6553324885287115,1.4089223486568274,0.7463736215180805,15.38259363374313,0.1772855745463711,2473.1109843788745,0.12264373837733074,5.6846500132891995,24.43163897842797,553.7679642945698,14069.010166129432,332.39208416065867,0.18958120846226012,5020.912224150757,0.24899143189440895,0.5087542547745306,13.596536399188844,0.09367696691556936,6.041137260634136,0.2060744177490726,530.220083040431,352.5644012909134,0.00011338423089114157,38.47155285906113,0.09790236555877305,0.006790915945191924,benign
